x_s,y_s,x_a,y_a,dx,dy,direction
577,317,96,120,481,197,5
574,314,96,120,478,194,5
571,311,96,120,475,191,5
568,308,96,120,472,188,5
565,305,96,120,469,185,5
562,302,96,120,466,182,5
559,299,96,120,463,179,5
556,296,96,120,460,176,5
553,293,96,120,457,173,5
550,290,96,120,454,170,5
547,287,96,120,451,167,5
544,284,96,120,448,164,5
541,281,96,120,445,161,5
538,278,96,120,442,158,5
535,275,96,120,439,155,5
532,272,96,120,436,152,5
529,269,96,120,433,149,5
526,266,96,120,430,146,5
523,263,96,120,427,143,5
520,260,96,120,424,140,5
517,257,96,120,421,137,5
514,254,96,120,418,134,5
511,251,96,120,415,131,5
508,248,96,120,412,128,5
505,245,96,120,409,125,5
502,242,96,120,406,122,5
499,239,96,120,403,119,5
496,236,96,120,400,116,5
493,233,96,120,397,113,5
490,230,96,120,394,110,5
487,227,96,120,391,107,5
484,224,96,120,388,104,5
481,221,96,120,385,101,5
478,218,96,120,382,98,5
475,215,96,120,379,95,5
472,212,96,120,376,92,5
469,209,96,120,373,89,5
466,206,96,120,370,86,5
463,203,96,120,367,83,5
460,200,96,120,364,80,5
457,197,96,120,361,77,5
454,194,96,120,358,74,5
451,191,96,120,355,71,5
448,188,96,120,352,68,5
445,185,96,120,349,65,5
442,182,96,120,346,62,5
439,179,96,120,343,59,5
436,176,96,120,340,56,5
433,173,96,120,337,53,5
430,170,96,120,334,50,5
427,167,96,120,331,47,5
424,164,96,120,328,44,5
421,161,96,120,325,41,5
418,158,96,120,322,38,5
415,155,96,120,319,35,5
412,152,96,120,316,32,5
409,149,96,120,313,29,5
406,146,96,120,310,26,5
403,143,96,120,307,23,5
400,140,96,120,304,20,5
397,137,96,120,301,17,5
394,134,96,120,298,14,5
391,131,96,120,295,11,5
388,128,96,120,292,8,5
385,125,96,120,289,5,5
382,122,96,120,286,2,5
379,119,96,120,283,-1,7
376,122,96,120,280,2,5
373,119,96,120,277,-1,7
370,122,96,120,274,2,5
367,119,96,120,271,-1,7
364,122,96,120,268,2,5
361,119,96,120,265,-1,7
358,122,96,120,262,2,5
355,119,96,120,259,-1,7
352,122,96,120,256,2,5
349,119,96,120,253,-1,7
346,122,96,120,250,2,5
343,119,96,120,247,-1,7
340,122,96,120,244,2,5
337,119,96,120,241,-1,7
334,122,96,120,238,2,5
331,119,96,120,235,-1,7
328,122,96,120,232,2,5
325,119,96,120,229,-1,7
322,122,96,120,226,2,5
319,119,96,120,223,-1,7
316,122,96,120,220,2,5
313,119,96,120,217,-1,7
310,122,96,120,214,2,5
307,119,96,120,211,-1,7
304,122,96,120,208,2,5
301,119,96,120,205,-1,7
298,122,96,120,202,2,5
295,119,96,120,199,-1,7
292,122,96,120,196,2,5
289,119,96,120,193,-1,7
286,122,96,120,190,2,5
283,119,96,120,187,-1,7
280,122,96,120,184,2,5
277,119,96,120,181,-1,7
274,122,96,120,178,2,5
271,119,96,120,175,-1,7
268,122,96,120,172,2,5
265,119,96,120,169,-1,7
262,122,96,120,166,2,5
259,119,96,120,163,-1,7
256,122,96,120,160,2,5
253,119,96,120,157,-1,7
250,122,96,120,154,2,5
247,119,96,120,151,-1,7
244,122,96,120,148,2,5
241,119,96,120,145,-1,7
238,122,96,120,142,2,5
235,119,96,120,139,-1,7
232,122,96,120,136,2,5
229,119,96,120,133,-1,7
226,122,96,120,130,2,5
223,119,96,120,127,-1,7
220,122,96,120,124,2,5
217,119,96,120,121,-1,7
214,122,96,120,118,2,5
211,119,96,120,115,-1,7
208,122,96,120,112,2,5
205,119,96,120,109,-1,7
202,122,96,120,106,2,5
199,119,96,120,103,-1,7
196,122,96,120,100,2,5
193,119,96,120,97,-1,7
190,122,96,120,94,2,5
187,119,96,120,91,-1,7
184,122,96,120,88,2,5
181,119,96,120,85,-1,7
178,122,96,120,82,2,5
175,119,96,120,79,-1,7
172,122,96,120,76,2,5
169,119,96,120,73,-1,7
166,122,96,120,70,2,5
163,119,96,120,67,-1,7
160,122,96,120,64,2,5
157,119,96,120,61,-1,7
154,122,96,120,58,2,5
151,119,96,120,55,-1,7
148,122,96,120,52,2,5
145,119,96,120,49,-1,7
142,122,96,120,46,2,5
139,119,96,120,43,-1,7
136,122,96,120,40,2,5
133,119,96,120,37,-1,7
130,122,96,120,34,2,5
127,119,592,328,-465,-209,1
130,122,592,328,-462,-206,1
133,125,592,328,-459,-203,1
136,128,592,328,-456,-200,1
139,131,592,328,-453,-197,1
142,134,592,328,-450,-194,1
145,137,592,328,-447,-191,1
148,140,592,328,-444,-188,1
151,143,592,328,-441,-185,1
154,146,592,328,-438,-182,1
157,149,592,328,-435,-179,1
160,152,592,328,-432,-176,1
163,155,592,328,-429,-173,1
166,158,592,328,-426,-170,1
169,161,592,328,-423,-167,1
172,164,592,328,-420,-164,1
175,167,592,328,-417,-161,1
178,170,592,328,-414,-158,1
181,173,592,328,-411,-155,1
184,176,592,328,-408,-152,1
187,179,592,328,-405,-149,1
190,182,592,328,-402,-146,1
193,185,592,328,-399,-143,1
196,188,592,328,-396,-140,1
199,191,592,328,-393,-137,1
202,194,592,328,-390,-134,1
205,197,592,328,-387,-131,1
208,200,592,328,-384,-128,1
211,203,592,328,-381,-125,1
214,206,592,328,-378,-122,1
217,209,592,328,-375,-119,1
220,212,592,328,-372,-116,1
223,215,592,328,-369,-113,1
226,218,592,328,-366,-110,1
229,221,592,328,-363,-107,1
232,224,592,328,-360,-104,1
235,227,592,328,-357,-101,1
238,230,592,328,-354,-98,1
241,233,592,328,-351,-95,1
244,236,592,328,-348,-92,1
247,239,592,328,-345,-89,1
250,242,592,328,-342,-86,1
253,245,592,328,-339,-83,1
256,248,592,328,-336,-80,1
259,251,592,328,-333,-77,1
262,254,592,328,-330,-74,1
265,257,592,328,-327,-71,1
268,260,592,328,-324,-68,1
271,263,592,328,-321,-65,1
274,266,592,328,-318,-62,1
277,269,592,328,-315,-59,1
280,272,592,328,-312,-56,1
283,275,592,328,-309,-53,1
286,278,592,328,-306,-50,1
289,281,592,328,-303,-47,1
292,284,592,328,-300,-44,1
295,287,592,328,-297,-41,1
298,290,592,328,-294,-38,1
301,293,592,328,-291,-35,1
304,296,592,328,-288,-32,1
307,299,592,328,-285,-29,1
310,302,592,328,-282,-26,1
313,305,592,328,-279,-23,1
316,308,592,328,-276,-20,1
319,311,592,328,-273,-17,1
322,314,592,328,-270,-14,1
325,317,592,328,-267,-11,1
328,320,592,328,-264,-8,1
331,323,592,328,-261,-5,1
334,326,592,328,-258,-2,1
337,329,592,328,-255,1,3
340,326,592,328,-252,-2,1
343,329,592,328,-249,1,3
346,326,592,328,-246,-2,1
349,329,592,328,-243,1,3
352,326,592,328,-240,-2,1
355,329,592,328,-237,1,3
358,326,592,328,-234,-2,1
361,329,592,328,-231,1,3
364,326,592,328,-228,-2,1
367,329,592,328,-225,1,3
370,326,592,328,-222,-2,1
373,329,592,328,-219,1,3
376,326,592,328,-216,-2,1
379,329,592,328,-213,1,3
382,326,592,328,-210,-2,1
385,329,592,328,-207,1,3
388,326,592,328,-204,-2,1
391,329,592,328,-201,1,3
394,326,592,328,-198,-2,1
397,329,592,328,-195,1,3
400,326,592,328,-192,-2,1
403,329,592,328,-189,1,3
406,326,592,328,-186,-2,1
409,329,592,328,-183,1,3
412,326,592,328,-180,-2,1
415,329,592,328,-177,1,3
418,326,592,328,-174,-2,1
421,329,592,328,-171,1,3
424,326,592,328,-168,-2,1
427,329,592,328,-165,1,3
430,326,592,328,-162,-2,1
433,329,592,328,-159,1,3
436,326,592,328,-156,-2,1
439,329,592,328,-153,1,3
442,326,592,328,-150,-2,1
445,329,592,328,-147,1,3
448,326,592,328,-144,-2,1
451,329,592,328,-141,1,3
454,326,592,328,-138,-2,1
457,329,592,328,-135,1,3
460,326,592,328,-132,-2,1
463,329,592,328,-129,1,3
466,326,592,328,-126,-2,1
469,329,592,328,-123,1,3
472,326,592,328,-120,-2,1
475,329,592,328,-117,1,3
478,326,592,328,-114,-2,1
481,329,592,328,-111,1,3
484,326,592,328,-108,-2,1
487,329,592,328,-105,1,3
490,326,592,328,-102,-2,1
493,329,592,328,-99,1,3
496,326,592,328,-96,-2,1
499,329,592,328,-93,1,3
502,326,592,328,-90,-2,1
505,329,592,328,-87,1,3
508,326,592,328,-84,-2,1
511,329,592,328,-81,1,3
514,326,592,328,-78,-2,1
517,329,592,328,-75,1,3
520,326,592,328,-72,-2,1
523,329,592,328,-69,1,3
526,326,592,328,-66,-2,1
529,329,592,328,-63,1,3
532,326,592,328,-60,-2,1
535,329,592,328,-57,1,3
538,326,592,328,-54,-2,1
541,329,592,328,-51,1,3
544,326,592,328,-48,-2,1
547,329,592,328,-45,1,3
550,326,592,328,-42,-2,1
553,329,592,328,-39,1,3
556,326,592,328,-36,-2,1
559,329,592,328,-33,1,3
562,326,176,336,386,-10,7
559,329,176,336,383,-7,7
556,332,176,336,380,-4,7
553,335,176,336,377,-1,7
550,338,176,336,374,2,5
547,335,176,336,371,-1,7
544,338,176,336,368,2,5
541,335,176,336,365,-1,7
538,338,176,336,362,2,5
535,335,176,336,359,-1,7
532,338,176,336,356,2,5
529,335,176,336,353,-1,7
526,338,176,336,350,2,5
523,335,176,336,347,-1,7
520,338,176,336,344,2,5
517,335,176,336,341,-1,7
514,338,176,336,338,2,5
511,335,176,336,335,-1,7
508,338,176,336,332,2,5
505,335,176,336,329,-1,7
502,338,176,336,326,2,5
499,335,176,336,323,-1,7
496,338,176,336,320,2,5
493,335,176,336,317,-1,7
490,338,176,336,314,2,5
487,335,176,336,311,-1,7
484,338,176,336,308,2,5
481,335,176,336,305,-1,7
478,338,176,336,302,2,5
475,335,176,336,299,-1,7
472,338,176,336,296,2,5
469,335,176,336,293,-1,7
466,338,176,336,290,2,5
463,335,176,336,287,-1,7
460,338,176,336,284,2,5
457,335,176,336,281,-1,7
454,338,176,336,278,2,5
451,335,176,336,275,-1,7
448,338,176,336,272,2,5
445,335,176,336,269,-1,7
442,338,176,336,266,2,5
439,335,176,336,263,-1,7
436,338,176,336,260,2,5
433,335,176,336,257,-1,7
430,338,176,336,254,2,5
427,335,176,336,251,-1,7
424,338,176,336,248,2,5
421,335,176,336,245,-1,7
418,338,176,336,242,2,5
415,335,176,336,239,-1,7
412,338,176,336,236,2,5
409,335,176,336,233,-1,7
406,338,176,336,230,2,5
403,335,176,336,227,-1,7
400,338,176,336,224,2,5
397,335,176,336,221,-1,7
394,338,176,336,218,2,5
391,335,176,336,215,-1,7
388,338,176,336,212,2,5
385,335,176,336,209,-1,7
382,338,176,336,206,2,5
379,335,176,336,203,-1,7
376,338,176,336,200,2,5
373,335,176,336,197,-1,7
370,338,176,336,194,2,5
367,335,176,336,191,-1,7
364,338,176,336,188,2,5
361,335,176,336,185,-1,7
358,338,176,336,182,2,5
355,335,176,336,179,-1,7
352,338,176,336,176,2,5
349,335,176,336,173,-1,7
346,338,176,336,170,2,5
343,335,176,336,167,-1,7
340,338,176,336,164,2,5
337,335,176,336,161,-1,7
334,338,176,336,158,2,5
331,335,176,336,155,-1,7
328,338,176,336,152,2,5
325,335,176,336,149,-1,7
322,338,176,336,146,2,5
319,335,176,336,143,-1,7
316,338,176,336,140,2,5
313,335,176,336,137,-1,7
310,338,176,336,134,2,5
307,335,176,336,131,-1,7
304,338,176,336,128,2,5
301,335,176,336,125,-1,7
298,338,176,336,122,2,5
295,335,176,336,119,-1,7
292,338,176,336,116,2,5
289,335,176,336,113,-1,7
286,338,176,336,110,2,5
283,335,176,336,107,-1,7
280,338,176,336,104,2,5
277,335,176,336,101,-1,7
274,338,176,336,98,2,5
271,335,176,336,95,-1,7
268,338,176,336,92,2,5
265,335,176,336,89,-1,7
262,338,176,336,86,2,5
259,335,176,336,83,-1,7
256,338,176,336,80,2,5
253,335,176,336,77,-1,7
250,338,176,336,74,2,5
247,335,176,336,71,-1,7
244,338,176,336,68,2,5
241,335,176,336,65,-1,7
238,338,176,336,62,2,5
235,335,176,336,59,-1,7
232,338,176,336,56,2,5
229,335,176,336,53,-1,7
226,338,176,336,50,2,5
223,335,176,336,47,-1,7
220,338,176,336,44,2,5
217,335,176,336,41,-1,7
214,338,176,336,38,2,5
211,335,176,336,35,-1,7
208,338,176,336,32,2,5
205,335,744,184,-539,151,3
208,332,744,184,-536,148,3
211,329,744,184,-533,145,3
214,326,744,184,-530,142,3
217,323,744,184,-527,139,3
220,320,744,184,-524,136,3
223,317,744,184,-521,133,3
226,314,744,184,-518,130,3
229,311,744,184,-515,127,3
232,308,744,184,-512,124,3
235,305,744,184,-509,121,3
238,302,744,184,-506,118,3
241,299,744,184,-503,115,3
244,296,744,184,-500,112,3
247,293,744,184,-497,109,3
250,290,744,184,-494,106,3
253,287,744,184,-491,103,3
256,284,744,184,-488,100,3
259,281,744,184,-485,97,3
262,278,744,184,-482,94,3
265,275,744,184,-479,91,3
268,272,744,184,-476,88,3
271,269,744,184,-473,85,3
274,266,744,184,-470,82,3
277,263,744,184,-467,79,3
280,260,744,184,-464,76,3
283,257,744,184,-461,73,3
286,254,744,184,-458,70,3
289,251,744,184,-455,67,3
292,248,744,184,-452,64,3
295,245,744,184,-449,61,3
298,242,744,184,-446,58,3
301,239,744,184,-443,55,3
304,236,744,184,-440,52,3
307,233,744,184,-437,49,3
310,230,744,184,-434,46,3
313,227,744,184,-431,43,3
316,224,744,184,-428,40,3
319,221,744,184,-425,37,3
322,218,744,184,-422,34,3
325,215,744,184,-419,31,3
328,212,744,184,-416,28,3
331,209,744,184,-413,25,3
334,206,744,184,-410,22,3
337,203,744,184,-407,19,3
340,200,744,184,-404,16,3
343,197,744,184,-401,13,3
346,194,744,184,-398,10,3
349,191,744,184,-395,7,3
352,188,744,184,-392,4,3
355,185,744,184,-389,1,3
358,182,744,184,-386,-2,1
361,185,744,184,-383,1,3
364,182,744,184,-380,-2,1
367,185,744,184,-377,1,3
370,182,744,184,-374,-2,1
373,185,744,184,-371,1,3
376,182,744,184,-368,-2,1
379,185,744,184,-365,1,3
382,182,744,184,-362,-2,1
385,185,744,184,-359,1,3
388,182,744,184,-356,-2,1
391,185,744,184,-353,1,3
394,182,744,184,-350,-2,1
397,185,744,184,-347,1,3
400,182,744,184,-344,-2,1
403,185,744,184,-341,1,3
406,182,744,184,-338,-2,1
409,185,744,184,-335,1,3
412,182,744,184,-332,-2,1
415,185,744,184,-329,1,3
418,182,744,184,-326,-2,1
421,185,744,184,-323,1,3
424,182,744,184,-320,-2,1
427,185,744,184,-317,1,3
430,182,744,184,-314,-2,1
433,185,744,184,-311,1,3
436,182,744,184,-308,-2,1
439,185,744,184,-305,1,3
442,182,744,184,-302,-2,1
445,185,744,184,-299,1,3
448,182,744,184,-296,-2,1
451,185,744,184,-293,1,3
454,182,744,184,-290,-2,1
457,185,744,184,-287,1,3
460,182,744,184,-284,-2,1
463,185,744,184,-281,1,3
466,182,744,184,-278,-2,1
469,185,744,184,-275,1,3
472,182,744,184,-272,-2,1
475,185,744,184,-269,1,3
478,182,744,184,-266,-2,1
481,185,744,184,-263,1,3
484,182,744,184,-260,-2,1
487,185,744,184,-257,1,3
490,182,744,184,-254,-2,1
493,185,744,184,-251,1,3
496,182,744,184,-248,-2,1
499,185,744,184,-245,1,3
502,182,744,184,-242,-2,1
505,185,744,184,-239,1,3
508,182,744,184,-236,-2,1
511,185,744,184,-233,1,3
514,182,744,184,-230,-2,1
517,185,744,184,-227,1,3
520,182,744,184,-224,-2,1
523,185,744,184,-221,1,3
526,182,744,184,-218,-2,1
529,185,744,184,-215,1,3
532,182,744,184,-212,-2,1
535,185,744,184,-209,1,3
538,182,744,184,-206,-2,1
541,185,744,184,-203,1,3
544,182,744,184,-200,-2,1
547,185,744,184,-197,1,3
550,182,744,184,-194,-2,1
553,185,744,184,-191,1,3
556,182,744,184,-188,-2,1
559,185,744,184,-185,1,3
562,182,744,184,-182,-2,1
565,185,744,184,-179,1,3
568,182,744,184,-176,-2,1
571,185,744,184,-173,1,3
574,182,744,184,-170,-2,1
577,185,744,184,-167,1,3
580,182,744,184,-164,-2,1
583,185,744,184,-161,1,3
586,182,744,184,-158,-2,1
589,185,744,184,-155,1,3
592,182,744,184,-152,-2,1
595,185,744,184,-149,1,3
598,182,744,184,-146,-2,1
601,185,744,184,-143,1,3
604,182,744,184,-140,-2,1
607,185,744,184,-137,1,3
610,182,744,184,-134,-2,1
613,185,744,184,-131,1,3
616,182,744,184,-128,-2,1
619,185,744,184,-125,1,3
622,182,744,184,-122,-2,1
625,185,744,184,-119,1,3
628,182,744,184,-116,-2,1
631,185,744,184,-113,1,3
634,182,744,184,-110,-2,1
637,185,744,184,-107,1,3
640,182,744,184,-104,-2,1
643,185,744,184,-101,1,3
646,182,744,184,-98,-2,1
649,185,744,184,-95,1,3
652,182,744,184,-92,-2,1
655,185,744,184,-89,1,3
658,182,744,184,-86,-2,1
661,185,744,184,-83,1,3
664,182,744,184,-80,-2,1
667,185,744,184,-77,1,3
670,182,744,184,-74,-2,1
673,185,744,184,-71,1,3
676,182,744,184,-68,-2,1
679,185,744,184,-65,1,3
682,182,744,184,-62,-2,1
685,185,744,184,-59,1,3
688,182,744,184,-56,-2,1
691,185,744,184,-53,1,3
694,182,744,184,-50,-2,1
697,185,744,184,-47,1,3
700,182,744,184,-44,-2,1
703,185,744,184,-41,1,3
706,182,744,184,-38,-2,1
709,185,744,184,-35,1,3
712,182,744,184,-32,-2,1
715,185,240,248,475,-63,7
712,188,240,248,472,-60,7
709,191,240,248,469,-57,7
706,194,240,248,466,-54,7
703,197,240,248,463,-51,7
700,200,240,248,460,-48,7
697,203,240,248,457,-45,7
694,206,240,248,454,-42,7
691,209,240,248,451,-39,7
688,212,240,248,448,-36,7
685,215,240,248,445,-33,7
682,218,240,248,442,-30,7
679,221,240,248,439,-27,7
676,224,240,248,436,-24,7
673,227,240,248,433,-21,7
670,230,240,248,430,-18,7
667,233,240,248,427,-15,7
664,236,240,248,424,-12,7
661,239,240,248,421,-9,7
658,242,240,248,418,-6,7
655,245,240,248,415,-3,7
652,248,240,248,412,0,6
649,248,240,248,409,0,6
646,248,240,248,406,0,6
643,248,240,248,403,0,6
640,248,240,248,400,0,6
637,248,240,248,397,0,6
634,248,240,248,394,0,6
631,248,240,248,391,0,6
628,248,240,248,388,0,6
625,248,240,248,385,0,6
622,248,240,248,382,0,6
619,248,240,248,379,0,6
616,248,240,248,376,0,6
613,248,240,248,373,0,6
610,248,240,248,370,0,6
607,248,240,248,367,0,6
604,248,240,248,364,0,6
601,248,240,248,361,0,6
598,248,240,248,358,0,6
595,248,240,248,355,0,6
592,248,240,248,352,0,6
589,248,240,248,349,0,6
586,248,240,248,346,0,6
583,248,240,248,343,0,6
580,248,240,248,340,0,6
577,248,240,248,337,0,6
574,248,240,248,334,0,6
571,248,240,248,331,0,6
568,248,240,248,328,0,6
565,248,240,248,325,0,6
562,248,240,248,322,0,6
559,248,240,248,319,0,6
556,248,240,248,316,0,6
553,248,240,248,313,0,6
550,248,240,248,310,0,6
547,248,240,248,307,0,6
544,248,240,248,304,0,6
541,248,240,248,301,0,6
538,248,240,248,298,0,6
535,248,240,248,295,0,6
532,248,240,248,292,0,6
529,248,240,248,289,0,6
526,248,240,248,286,0,6
523,248,240,248,283,0,6
520,248,240,248,280,0,6
517,248,240,248,277,0,6
514,248,240,248,274,0,6
511,248,240,248,271,0,6
508,248,240,248,268,0,6
505,248,240,248,265,0,6
502,248,240,248,262,0,6
499,248,240,248,259,0,6
496,248,240,248,256,0,6
493,248,240,248,253,0,6
490,248,240,248,250,0,6
487,248,240,248,247,0,6
484,248,240,248,244,0,6
481,248,240,248,241,0,6
478,248,240,248,238,0,6
475,248,240,248,235,0,6
472,248,240,248,232,0,6
469,248,240,248,229,0,6
466,248,240,248,226,0,6
463,248,240,248,223,0,6
460,248,240,248,220,0,6
457,248,240,248,217,0,6
454,248,240,248,214,0,6
451,248,240,248,211,0,6
448,248,240,248,208,0,6
445,248,240,248,205,0,6
442,248,240,248,202,0,6
439,248,240,248,199,0,6
436,248,240,248,196,0,6
433,248,240,248,193,0,6
430,248,240,248,190,0,6
427,248,240,248,187,0,6
424,248,240,248,184,0,6
421,248,240,248,181,0,6
418,248,240,248,178,0,6
415,248,240,248,175,0,6
412,248,240,248,172,0,6
409,248,240,248,169,0,6
406,248,240,248,166,0,6
403,248,240,248,163,0,6
400,248,240,248,160,0,6
397,248,240,248,157,0,6
394,248,240,248,154,0,6
391,248,240,248,151,0,6
388,248,240,248,148,0,6
385,248,240,248,145,0,6
382,248,240,248,142,0,6
379,248,240,248,139,0,6
376,248,240,248,136,0,6
373,248,240,248,133,0,6
370,248,240,248,130,0,6
367,248,240,248,127,0,6
364,248,240,248,124,0,6
361,248,240,248,121,0,6
358,248,240,248,118,0,6
355,248,240,248,115,0,6
352,248,240,248,112,0,6
349,248,240,248,109,0,6
346,248,240,248,106,0,6
343,248,240,248,103,0,6
340,248,240,248,100,0,6
337,248,240,248,97,0,6
334,248,240,248,94,0,6
331,248,240,248,91,0,6
328,248,240,248,88,0,6
325,248,240,248,85,0,6
322,248,240,248,82,0,6
319,248,240,248,79,0,6
316,248,240,248,76,0,6
313,248,240,248,73,0,6
310,248,240,248,70,0,6
307,248,240,248,67,0,6
304,248,240,248,64,0,6
301,248,240,248,61,0,6
298,248,240,248,58,0,6
295,248,240,248,55,0,6
292,248,240,248,52,0,6
289,248,240,248,49,0,6
286,248,240,248,46,0,6
283,248,240,248,43,0,6
280,248,240,248,40,0,6
277,248,240,248,37,0,6
274,248,240,248,34,0,6
271,248,752,128,-481,120,3
274,245,752,128,-478,117,3
277,242,752,128,-475,114,3
280,239,752,128,-472,111,3
283,236,752,128,-469,108,3
286,233,752,128,-466,105,3
289,230,752,128,-463,102,3
292,227,752,128,-460,99,3
295,224,752,128,-457,96,3
298,221,752,128,-454,93,3
301,218,752,128,-451,90,3
304,215,752,128,-448,87,3
307,212,752,128,-445,84,3
310,209,752,128,-442,81,3
313,206,752,128,-439,78,3
316,203,752,128,-436,75,3
319,200,752,128,-433,72,3
322,197,752,128,-430,69,3
325,194,752,128,-427,66,3
328,191,752,128,-424,63,3
331,188,752,128,-421,60,3
334,185,752,128,-418,57,3
337,182,752,128,-415,54,3
340,179,752,128,-412,51,3
343,176,752,128,-409,48,3
346,173,752,128,-406,45,3
349,170,752,128,-403,42,3
352,167,752,128,-400,39,3
355,164,752,128,-397,36,3
358,161,752,128,-394,33,3
361,158,752,128,-391,30,3
364,155,752,128,-388,27,3
367,152,752,128,-385,24,3
370,149,752,128,-382,21,3
373,146,752,128,-379,18,3
376,143,752,128,-376,15,3
379,140,752,128,-373,12,3
382,137,752,128,-370,9,3
385,134,752,128,-367,6,3
388,131,752,128,-364,3,3
391,128,752,128,-361,0,2
394,128,752,128,-358,0,2
397,128,752,128,-355,0,2
400,128,752,128,-352,0,2
403,128,752,128,-349,0,2
406,128,752,128,-346,0,2
409,128,752,128,-343,0,2
412,128,752,128,-340,0,2
415,128,752,128,-337,0,2
418,128,752,128,-334,0,2
421,128,752,128,-331,0,2
424,128,752,128,-328,0,2
427,128,752,128,-325,0,2
430,128,752,128,-322,0,2
433,128,752,128,-319,0,2
436,128,752,128,-316,0,2
439,128,752,128,-313,0,2
442,128,752,128,-310,0,2
445,128,752,128,-307,0,2
448,128,752,128,-304,0,2
451,128,752,128,-301,0,2
454,128,752,128,-298,0,2
457,128,752,128,-295,0,2
460,128,752,128,-292,0,2
463,128,752,128,-289,0,2
466,128,752,128,-286,0,2
469,128,752,128,-283,0,2
472,128,752,128,-280,0,2
475,128,752,128,-277,0,2
478,128,752,128,-274,0,2
481,128,752,128,-271,0,2
484,128,752,128,-268,0,2
487,128,752,128,-265,0,2
490,128,752,128,-262,0,2
493,128,752,128,-259,0,2
496,128,752,128,-256,0,2
499,128,752,128,-253,0,2
502,128,752,128,-250,0,2
505,128,752,128,-247,0,2
508,128,752,128,-244,0,2
511,128,752,128,-241,0,2
514,128,752,128,-238,0,2
517,128,752,128,-235,0,2
520,128,752,128,-232,0,2
523,128,752,128,-229,0,2
526,128,752,128,-226,0,2
529,128,752,128,-223,0,2
532,128,752,128,-220,0,2
535,128,752,128,-217,0,2
538,128,752,128,-214,0,2
541,128,752,128,-211,0,2
544,128,752,128,-208,0,2
547,128,752,128,-205,0,2
550,128,752,128,-202,0,2
553,128,752,128,-199,0,2
556,128,752,128,-196,0,2
559,128,752,128,-193,0,2
562,128,752,128,-190,0,2
565,128,752,128,-187,0,2
568,128,752,128,-184,0,2
571,128,752,128,-181,0,2
574,128,752,128,-178,0,2
577,128,752,128,-175,0,2
580,128,752,128,-172,0,2
583,128,752,128,-169,0,2
586,128,752,128,-166,0,2
